Title;URL;Description;Details;ShortDetails;Resource;Type;Identifiers;Db;EntrezUID;Properties;;;;;;;;
Prevalence of paraoxonase-1 polymorphisms in diabetes mellitus type 2 Greek patients.;/pubmed/28416922;Hatzihidiroglou A, Makedou K, Savopoulos C.;Hippokratia. 2016 Apr-Jun;;;;;;;;;;;;;;;
P673Improvement of arterial stiffness and myocardial deformation in patients with poorly controlled diabetes mellitus type 2 after optimization of antidiabetic medication.;/pubmed/28415103;Ikonomidis I, Pavlidis G, Lambadiari V, Kousathana F, Triantafyllidi H, Varoudi M, Vlastos D, Vlachos S, Dimitriadis G, Lekakis J.;Eur Heart J Cardiovasc Imaging. 2016 Dec 1;;;;;;;;;;;;;;;
Glucose Variations and Activity Are Strongly Coupled in Sleep and Wake in Young Adults With Type 1 Diabetes.;/pubmed/28413931;Farabi SS, Carley DW, Quinn L.;Biol Res Nurs. 2017 May;;;;;;;;;;;;;;;
Induced pluripotent stem cells derived from a patient with autosomal dominant familial neurohypophyseal diabetes insipidus caused by a variant in the AVP gene.;/pubmed/28413003;Toustrup LB, Zhou Y, Kvistgaard H, Gregersen N, Rittig S, Aagaard L, Corydon TJ, Luo Y, Christensen JH.;Stem Cell Res. 2017 Mar;;;;;;;;;;;;;;;
Assessment of Compliance to Treatment of Diabetes and Hypertension amongst Previously Diagnosed Patients from Rural Community of Raigad District of Maharashtra.;/pubmed/28405986;Kakumani KV, Waingankar P.;J Assoc Physicians India. 2016 Dec;;;;;;;;;;;;;;;
BLT2 expression improves skin integrity and protects from alterations caused by hyperglycemia in type 2 diabetes.;/pubmed/28405264;Leguina-Ruzzi A, Valderas JP.;Dermatoendocrinol. 2016 Dec 14;;;;;;;;;;;;;;;
Type 3c (pancreatogenic) diabetes mellitus secondary to chronic pancreatitis and pancreatic cancer.;/pubmed/28404095;Hart PA, Bellin MD, Andersen DK, Bradley D, Cruz-Monserrate Z, Forsmark CE, Goodarzi MO, Habtezion A, Korc M, Kudva YC, Pandol SJ, Yadav D, Chari ST;;;;;;;;;;;;;;;;
Commentary: The University Group Diabetes Program 1961-1978: pioneering randomized controlled trial.;/pubmed/28398569;Blackburn H, Jacobs DR Jr.;Int J Epidemiol. 2016 Aug 31. doi: 10.1093/ije/dyw168. [Epub ahead of print] No abstract available. ;Int J Epidemiol.  2016;PubMed;citation;PMID:28398569;pubmed;28398569;create date:2017/04/12 | first author:Blackburn H;;;;;;;;
DIABETES AND CRITICAL LIMB ISCHEMIA: THE DEADLY DUO IN PATIENTS WITH SYMPTOMATIC PERIPHERAL ARTERY DISEASE.;/pubmed/28394111;[No authors listed];Acta Clin Croat. 2016 Jun;;;;;;;;;;;;;;;
'Knowing what Matters in diabetes: Healthier below 7': results of the campaign's first 10 years (part 2); participants without known diabetes history.;/pubmed/28392974;Jacob S, Klimke-Huebner A, Dippel FW, Hopfenmueller W.;Cardiovasc Endocrinol. 2017 Mar;;;;;;;;;;;;;;
'Knowing what matters in diabetes: healthier below 7': results of the campaign's first 10 years (part 1): participants with known type 2 diabetes.;/pubmed/28392972;Jacob S, Klimke-Hübner A, Dippel FW, Hopfenmüller W.;Cardiovasc Endocrinol. 2016 Mar;;;;;;;;;;;;;;;
ApoB-lipoproteins and dysfunctional white adipose tissue: Relation to risk factors for type 2 diabetes in humans.;/pubmed/28391908;Lamantia V, Bissonnette S, Wassef H, Cyr Y, Baass A, Dufour R, Rabasa-Lhoret R, Faraj M.;J Clin Lipidol. 2017 Jan - Feb;;;;;;;;;;;;;;;
[About the choice between a DPP-4 inhibitor and a SGLT 2 inhibitor tor treating type 2 diabetes].;/pubmed/28387100;Scheen AJ, Paquot N.;Rev Med Liege. 2016 Dec;;;;;;;;;;;;;;;
[Dapagliflozin (forxiga®) : SGLT 2 cotransporter inhibitor as glucose-lowering agent in type 2 diabetes].;/pubmed/28383856;Scheen AJ.;Rev Med Liege. 2016 Oct;;;;;;;;;;;;;;;
[Cardiovascular and renal protection of patients with type 2 diabetes : focus after EMPA-REG OUTCOME and LEADER].;/pubmed/28383832;Scheen AJ, Piérard L, Krzesinski JM, Paquot N.;Rev Med Liege. 2016 Sep;;;;;;;;;;;;;;;
A Meta-Analysis of Peer-Support Interventions for Adults With Diabetes.;/pubmed/28376452;[No authors listed];Ann Fam Med. 2016 Nov;;;;;;;;;;;;;;;
Peer Support Interventions for Adults With Diabetes: A Meta-Analysis of Hemoglobin A(1c) Outcomes.;/pubmed/28376441;Patil SJ, Ruppar T, Koopman RJ, Lindbloom EJ, Elliott SG, Mehr DR, Conn VS.;Ann Fam Med. 2016 Nov;;;;;;;;;;;;;;;
Postprandial glycaemic response of foxtail millet dosa in comparison to a rice dosa in patients with type 2 diabetes.;/pubmed/28361824;Narayanan J, Sanjeevi V, Rohini U, Trueman P, Viswanathan V.;Indian J Med Res. 2016 Nov;;;;;;;;;;;;;;;
Childhood diabetes mellitus: Advances & challenges.;/pubmed/28361813;Menon RK, Thomas IH, Sperling MA.;Indian J Med Res. 2016 Nov;;;;;;;;;;;;;;;
Diabetes Knowledge Among Adults with Serious Mental Illness and Comorbid Diabetes Mellitus.;/pubmed/28359432;Wykes TL, Lee AA, Bourassa K, Kitchen KA, McKibbin CL.;Arch Psychiatr Nurs. 2017 Apr;;;;;;;;;;;;;;;
Apolipoprotein A2 -265 T>C polymorphism interacts with dietary fatty acids intake to modulate inflammation in type 2 diabetes mellitus patients.;/pubmed/28359369;Keramat L, Sadrzadeh-Yeganeh H, Sotoudeh G, Zamani E, Eshraghian M, Mansoori A, Koohdani F.;Nutrition. 2017 May;;;;;;;;;;;;;;;
Association of two synonymous splicing-associated CpG single nucleotide polymorphisms in calpain 10 and solute carrier family 2 member 2 with type 2 diabetes.;/pubmed/28357066;Karambataki M, Malousi A, Tzimagiorgis G, Haitoglou C, Fragou A, Georgiou E, Papadopoulou F, Krassas GE, Kouidou S.;Biomed Rep. 2017 Feb;;;;;;;;;;;;;;;
Genetic variants in KCNJ11; TCF7L2 and HNF4A are associated with type 2 diabetes; BMI and dyslipidemia in families of Northeastern Mexico: A pilot study.;/pubmed/28352326;Gallardo-Blanco HL, Villarreal-Perez JZ, Cerda-Flores RM, Figueroa A, Sanchez-Dominguez CN, Gutierrez-Valverde JM, Torres-Muñoz IC, Lavalle-Gonzalez FJ, Gallegos-Cabriales EC, Martinez-Garza LE.;Exp Ther Med. 2017 Feb;;;;;;;;;;;;;
Value of the combined examination of Cys-C and HbA1c for diagnosis of early renal injury in pediatric diabetes.;/pubmed/28352324;Qian T, Tian L, Li Y, Zhang Z, Tian X, Sun D.;Exp Ther Med. 2017 Feb;;;;;;;;;;;;;;;
Improving the Reach of the National Diabetes Prevention Program Within a Health Disparities Population: A Bronx New York Pilot Project Crossing Health- and Community-Based Sectors.;/pubmed/28350313;Morrow R, Ferretti L, Norwood C, Reich D, Chito-Childs E, McCallion P, Tiburcio J, McGee E, Lopez JA.;J Contin Educ Health Prof. 2016 Fall;;;;;;;;;;;;;;;
Screening of tuberculosis patients for diabetes mellitus is feasible with the existing health system in India.;/pubmed/28349016;Samal J.;J Family Med Prim Care. 2016 Oct-Dec;;;;;;;;;;;;;;;
Knowledge and self-care practices regarding diabetes among patients with Type 2 diabetes in Rural Sullia; Karnataka: A community-based; cross-sectional study.;/pubmed/28349003;Dinesh PV, Kulkarni AG, Gangadhar NK.;J Family Med Prim Care. 2016 Oct-Dec;;;;;;;;;;;;;
Type 2 diabetes mellitus is associated with increased risk of pancreatic cancer: A veteran administration registry study.;/pubmed/28348740;Makhoul I, Yacoub A, Siegel E.;SAGE Open Med. 2016 Dec 14;;;;;;;;;;;;;;;
Diabetes for Cardiologists: Practical Issues in Diagnosis and Management.;/pubmed/28340996;Mancini GB, Cheng AY, Connelly K, Fitchett D, Goldenberg R, Goodman SG, Leiter LA, Lonn E, Paty B, Poirier P, Stone J, Thompson D, Yale JF.;Can J Cardiol. 2017 Mar;;;;;;;;;;;;;;;
Higher parity is associated with increased risk of Type 2 diabetes mellitus in women: A linear dose-response meta-analysis of cohort studies.;/pubmed/28340964;Guo P, Zhou Q, Ren L, Chen Y, Hui Y.;J Diabetes Complications. 2017 Jan;;;;;;;;;;;;;;;
Influence of gestational diabetes mellitus on fatty acid concentrations in human colostrum.;/pubmed/28336102;Azulay Chertok IR, Haile ZT, Eventov-Friedman S, Silanikove N, Argov-Argaman N.;Nutrition. 2017 Apr;;;;;;;;;;;;;;;
Zebrafish Pancreas Development and Regeneration: Fishing for Diabetes Therapies.;/pubmed/28335861;Prince VE, Anderson RM, Dalgin G.;Curr Top Dev Biol. 2017;;;;;;;;;;;;;;;
Identifying Gaps in Inpatient Care of Patients with Diabetes Mellitus: Where Do We Go From Here?;/pubmed/28334580;Cook CB.;Jt Comm J Qual Patient Saf. 2017 Jan;;;;;;;;;;;;;;;
Do statin users adhere to a healthy diet and lifestyle? The Australian Diabetes; Obesity and Lifestyle Study.;/pubmed/28326830;Johal S, Jamsen KM, Bell JS, Mc Namara KP, Magliano DJ, Liew D, Ryan-Atwood TE, Anderson C, Ilomäki J.;Eur J Prev Cardiol. 2017 Apr;;;;;;;;;;;;;;
A Proposal for an Out-of-Range Glycemic Population Health Safety Measure for Older Adults With Diabetes.;/pubmed/28325799;Pogach L, Tseng CL, Soroka O, Maney M, Aron D.;Diabetes Care. 2017 Apr;;;;;;;;;;;;;;;
Acute coronary syndromes and diabetes mellitus.;/pubmed/28302514;Foussas SG.;Hellenic J Cardiol. 2016 Sep - Oct;;;;;;;;;;;;;;;
Changes in Glycemic Control and Body Weight After Initiation of Dapagliflozin or Basal Insulin Supported Oral Therapy in Type 2 Diabetes.;/pubmed/28300454;Kostev K, Pscherer S, Rist R, Busch S, Scheerer MF.;J Diabetes Sci Technol. 2016 Dec 1:1932296816688011. doi: 10.1177/1932296816688011. [Epub ahead of print];J Diabetes Sci Technol.  2016;PubMed;citation;PMID:28300454;pubmed;28300454;create date:2017/03/17 | first author:Kostev K;;;;;;;;
Calculated Daily Insulin Dosages Overestimate Prescribed Insulin Doses in Type 2 Diabetes.;/pubmed/28300430;Kostev K, Rathmann W.;J Diabetes Sci Technol. 2016 Oct 1:1932296816676187. doi: 10.1177/1932296816676187. [Epub ahead of print];J Diabetes Sci Technol.  2016;PubMed;citation;PMID:28300430;pubmed;28300430;create date:2017/03/17 | first author:Kostev K;;;;;;;;
Beneficial Effects of Yogasanas and Pranayama in limiting the Cognitive decline in Type 2 Diabetes.;/pubmed/28299348;Rajani S, Archana R, Indla YR, Rajesh P.;Natl J Physiol Pharm Pharmacol. 2017;;;;;;;;;;;;;;;
Diabetes and periodontitis: How well are the patients aware about an established relation?;/pubmed/28298834;Ummadisetty T, Chava VK, Bhumanapalli VR.;J Indian Soc Periodontol. 2016 Jul-Aug;;;;;;;;;;;;;;;
A cross-sectional survey to study the relationship of periodontal disease with cardiovascular disease; respiratory disease; and diabetes mellitus.;/pubmed/28298829;Oberoi SS, Harish Y, Hiremath S, Puranik M.;J Indian Soc Periodontol. 2016 Jul-Aug;;;;;;;;;;;;;
Using MutPred derived mtDNA load scores to evaluate mtDNA variation in hypertension and diabetes in a two-population cohort: The SABPA study.;/pubmed/28298255;Venter M, Malan L, van Dyk E, Elson JL, van der Westhuizen FH.;J Genet Genomics. 2017 Mar 20;;;;;;;;;;;;;;;
A mobile diabetes management and educational system for type-2 diabetics in Saudi Arabia (SAED).;/pubmed/28293606;Alotaibi MM, Istepanian R, Philip N.;Mhealth. 2016 Aug 24;;;;;;;;;;;;;;;
Multivariate Prediction Equations for HbA(1c) Lowering; Weight Change; and Hypoglycemic Events Associated with Insulin Rescue Medication in Type 2 Diabetes Mellitus: Informing Economic Modeling.;/pubmed/28292480;Willis M, Asseburg C, Nilsson A, Johnsson K, Kartman B.;Value Health. 2017 Mar;;;;;;;;;;;;;
Limited Effectiveness of Diabetes Risk Assessment Tools in Seniors' Facility Residents.;/pubmed/28292477;Featherstone T, Eurich DT, Simpson SH.;Value Health. 2017 Mar;;;;;;;;;;;;;;;
[Factors Associated With Immediate Results of Coronary Artery Bypass Grafting in Patients With Ischemic Heart Disease in the Presence of Type 2 Diabetes].;/pubmed/28290890;Sumin AN, Bezdenezhnyh NA, Bezdenezhnyh AV, Ivanov SV, Barbarash OL.;Kardiologiia. 2016 Oct;;;;;;;;;;;;;;;
[Chronic Heart Failure Due to Formation of Giant Left Ventricular Pseudoaneurysm After Painless Myocardial Infarction in a Female Patient With Diabetes].;/pubmed/28290872;Katkova LA, Furman NV, Dolotovskaya PV, Dovgalevsky YP, Sakharova NK, Panteleeva EA, Parshina EA.;Kardiologiia. 2016 Sep;;;;;;;;;;;;;;;
[Association of I/D and -786 Polymorphisms of ACE and NOS3 Genes With Features of the Course of Ischemic Heart Disease and Diabetes Mellitus Type 2].;/pubmed/28290857;Afanasiev SA, Muslimova EF, Rebrov TY, Sergienko TN, Repin AN.;Kardiologiia. 2016 Sep;;;;;;;;;;;;;;;
[Long-Term Results of Antihypertensive Therapy in Patients With Diabetes].;/pubmed/28290852;Gilyarevsky SR.;Kardiologiia. 2016 Jun;;;;;;;;;;;;;;;
[Free Radical Processes Play an Important Role in the Etiology and Pathogenesis of Atherosclerosis and Diabetes].;/pubmed/28290811;Lankin VZ, Tikhaze AK.;Kardiologiia. 2016 Dec;;;;;;;;;;;;;;;
Title;URL;Description;Details;ShortDetails;Resource;Type;Identifiers;Db;EntrezUID;Properties;;;;;;;;
Polymorphism of angiotensin-converting enzyme (rs4340) and diabetic nephropathy in Caucasians with type 2 diabetes mellitus.;/pubmed/28289586;Šeruga M, Makuc J, Završnik M, Cilenšek I, Ekart R, Petrovič D.;Balkan J Med Genet. 2017 Mar 4;;;;;;;;;;;;;;;
Discovery of orally active hepatoselective glucokinase activators for treatment of Type II Diabetes Mellitus.;/pubmed/28284809;Xu J, Lin S, Myers RW, Trujillo ME, Pachanski MJ, Malkani S, Chen HS, Chen Z, Campbell B, Eiermann GJ, Elowe N, Farrer BT, Feng W, Fu Q, Kats-Kagan R, Kavana M, McMasters DR, Mitra K, Tong X, Xu L, Zhang F, Zhang R, et al.;Bioorg Med Chem Lett. 2017 May 1;;;;;;;;;;;;;;;
Novel; highly potent systemic glucokinase activators for the treatment of Type 2 Diabetes Mellitus.;/pubmed/28284804;Xu J, Lin S, Myers RW, Addona G, Berger JP, Campbell B, Chen HS, Chen Z, Eiermann GJ, Elowe NH, Farrer BT, Feng W, Fu Q, Kats-Kagan R, Kavana M, Malkani S, McMasters DR, Mitra K, Pachanski MJ, Tong X, Trujillo ME, Xu L, et al.;Bioorg Med Chem Lett. 2017 May 1;;;;;;;;;;;;;;
Wnt antagonist sclerostin and Dickkopf-1 in gestational diabetes.;/pubmed/28277306;Catalano A, Pintaudi B, Morabito N, Giunta L, Loddo S, Corrado F, D'Anna R, Lasco A, Di Benedetto A.;Diabetes Metab. 2016 Oct 27. pii: S1262-3636(16)30532-8. doi: 10.1016/j.diabet.2016.09.009. [Epub ahead of print] No abstract available. ;Diabetes Metab.  2016;PubMed;citation;PMID:28277306;pubmed;28277306;create date:2017/03/10 | first author:Catalano A;;;;;;;;
Dietitians' practice in giving carbohydrate advice in the management of type 2 diabetes: a mixed methods study.;/pubmed/28276183;McArdle PD, Greenfield SM, Avery A, Adams GG, Gill PS.;J Hum Nutr Diet. 2016 Nov 7. doi: 10.1111/jhn.12436. [Epub ahead of print];J Hum Nutr Diet.  2016;PubMed;citation;PMID:28276183;pubmed;28276183;create date:2017/03/10 | first author:McArdle PD;;;;;;;;
Learning Effective Treatment Pathways for Type-2 Diabetes from a clinical data warehouse.;/pubmed/28269963;Vashisht R, Jung K, Shah N.;AMIA Annu Symp Proc. 2017 Feb 10;;;;;;;;;;;;;;;
Evaluation of diabetes mellitus compensation after one year of using Mobiab system.;/pubmed/28269620;Burda V, Novak D, Schneider J.;Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;;;;;;;;;;;;;;;
Non-linear dynamic modeling of glucose in type 1 diabetes with kernel adaptive filters.;/pubmed/28269596;Georga EI, Principe JC, Polyzos D, Fotiadis DI.;Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;;;;;;;;;;;;;;;
Revealing oral medication patterns from reconstructed long-term medication history of type 2 diabetes.;/pubmed/28269524;Khotimah PH, Sugiyama Y, Yoshikawa M, Hamasaki A, Okamoto K, Kuroda T.;Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;;;;;;;;;;;;;;;
Deep learning framework for detection of hypoglycemic episodes in children with type 1 diabetes.;/pubmed/28269053;Phyo Phyo San, Sai Ho Ling, Nguyen HT.;Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;;;;;;;;;;;;;;;
A multiscale; model-based analysis of the multi-tissue interplay underlying blood glucose regulation in type I diabetes.;/pubmed/28268592;Wadehn F, Schaller S, Eissing T, Krauss M, Kupfer L.;Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;;;;;;;;;;;;;;
Heart rate independent QT variability component can detect subclinical cardiac autonomic neuropathy in diabetes.;/pubmed/28268476;Imam MH, Karmakar CK, Khandoker AH, Jelinek HF, Palaniswami M.;Conf Proc IEEE Eng Med Biol Soc. 2016 Aug;;;;;;;;;;;;;;;
Development of a plasminogen activator inhibitor (PAI-1) assay and comparison of plasma PAI-1 activity in hyperlipidemic/dyslipidemic dogs with either hyperadrenocorticism or diabetes mellitus; and healthy dogs.;/pubmed/28266313;Wong CJ, Koch M, Behling-Kelly EL.;Res Vet Sci. 2017 Apr;;;;;;;;;;;;;;
Evaluating emergency preparedness and impact of a hurricane sandy in pediatric patients with diabetes.;/pubmed/28265436;Heptulla R, Hashim R, Johnson DN, Ilkowitz JT, DiNapoli G, Renukuntla V, Sivitz J.;Disaster Mil Med. 2016 Feb 3;;;;;;;;;;;;;;;
Assessing the Security of Connected Diabetes Devices.;/pubmed/28264190;Out DJ, Tettero O.;J Diabetes Sci Technol. 2017 Mar;;;;;;;;;;;;;;;
Sensor-Augmented Insulin Pumps and Hypoglycemia Prevention in Type 1 Diabetes.;/pubmed/28264173;Steineck I, Ranjan A, Nørgaard K, Schmidt S.;J Diabetes Sci Technol. 2017 Jan;;;;;;;;;;;;;;;
2015 Diabetes Technology Meeting Agenda.;/pubmed/28264167;[No authors listed];J Diabetes Sci Technol. 2016 Mar;;;;;;;;;;;;;;;
2015 Diabetes Technology Meeting Abstracts.;/pubmed/28264166;[No authors listed];J Diabetes Sci Technol. 2016 Mar;;;;;;;;;;;;;;;
Genetic Component of Type 2 Diabetes in a Mexican Population.;/pubmed/28262190;Sánchez-Pozos K, Menjívar M.;Arch Med Res. 2016 Oct;;;;;;;;;;;;;;;
Midterm effects of bariatric surgery in patients with insulin-treated type 2 diabetes.;/pubmed/28259559;Ghio B, Jiménez A, Corcelles R, Flores L, Lacy A, Vidal J.;Surg Obes Relat Dis. 2016 Dec 31. pii: S1550-7289(16)30894-2. doi: 10.1016/j.soard.2016.12.030. [Epub ahead of print];Surg Obes Relat Dis.  2016;PubMed;citation;PMID:28259559;pubmed;28259559;create date:2017/03/06 | first author:Ghio B;;;;;;;;
Apoptosis; autophagy & endoplasmic reticulum stress in diabetes mellitus.;/pubmed/28256459;Demirtas L, Guclu A, Erdur FM, Akbas EM, Ozcicek A, Onk D, Turkmen K.;Indian J Med Res. 2016 Oct;;;;;;;;;;;;;;
Comparison of glucose homeostasis parameters between patients with high and low risk of diabetes at 6 weeks and 6 months after sleeve gastrectomy.;/pubmed/28254260;Papamargaritis D, Tzovaras G, Sioka E, Zachari E, Koukoulis G, Zacharoulis D.;Surg Obes Relat Dis. 2016 Dec 9. pii: S1550-7289(16)30850-4. doi: 10.1016/j.soard.2016.12.001. [Epub ahead of print];Surg Obes Relat Dis.  2016;PubMed;citation;PMID:28254260;pubmed;28254260;create date:2017/03/04 | first author:Papamargaritis D;;;;;;;;
A rare case of abdominal infection: Emphysematous pyelonephritis without diabetes.;/pubmed/28250980;Ünlüer EE, Şahı N Y, Oyar O, Tan GC, Karagöz AF, Turan CN.;Interv Med Appl Sci. 2016 Mar;;;;;;;;;;;;;;;
Management of a patient at high risk of type 2 diabetes.;/pubmed/28250838;Howells L, McKay AJ, Hussain S, Majeed A.;London J Prim Care (Abingdon). 2016 Jul 25;;;;;;;;;;;;;;;
Breast lump in a patient with Type 1 Diabetes.;/pubmed/28250832;Sharma A, Ali S, Devendra S.;London J Prim Care (Abingdon). 2016 Mar 22;;;;;;;;;;;;;;;
[Association of lower urinary tract symptoms and testosterone deficiency in men with type 2 diabetes].;/pubmed/28248039;Kogan MI, Belousov II, Ibishev HS, Cherniy AA, Khripun IA, Vorobyev SV, Sizjakin DV.;Urologiia. 2016 Dec;;;;;;;;;;;;;;;
[Changes in the structure of pathogens of calculous pyelonephritis complicated with diabetes mellitus type ii; in the hospital urology of the city of Volgograd].;/pubmed/28247727;Petrov VI, Vinarov AZ, Vekilyan MA, Kulchenko NG.;Urologiia. 2016 Aug;;;;;;;;;;;;;;
An intravital microscopy model to study early pancreatic inflammation in type 1 diabetes in NOD mice.;/pubmed/28243521;Lehmann C, Fisher NB, Tugwell B, Zhou J.;Intravital. 2016 Jul 25;;;;;;;;;;;;;;;
The role of flow cytometry in celiac disease screening using human leukocyte antigen in adult patients with type 1 diabetes mellitus.;/pubmed/28243038;Arregui MV, Urmeneta JM, Brito HL, De Esteban JP, Martínez CP, Llenas LF, Urtasun EA, Pericas FS, Musgo RA, Gutierrez MR, Sarrasqueta MP.;Ann Gastroenterol. 2017;;;;;;;;;;;;;;;
Arachidonic acid and lipoxinA4 attenuate streptozotocin-induced cytotoxicity to RIN5 F cells in vitro and type 1 and type 2 diabetes mellitus in vivo.;/pubmed/28241993;Gundala NK, Naidu VG, Das UN.;Nutrition. 2017 Mar;;;;;;;;;;;;;;;
Risk Factors for Hearing Impairment among Adults with Diabetes: The Hispanic Community Health Study/Study of Latinos (HCHS/SOL).;/pubmed/28239560;Bainbridge KE, Cowie CC, Gonzalez F 2nd, Hoffman HJ, Dinces E, Stamler J, Cruickshanks KJ.;J Clin Transl Endocrinol. 2016 Dec;;;;;;;;;;;;;;;
Comparing Two Waist-to-Height Ratio Measurements with Cardiometabolic Risk Factors among Youth with Diabetes.;/pubmed/28232855;Liu LL, Kahn HS, Pettitt DJ, Fino NF, Morgan T, Maahs DM, Crimmins NA, Lamichhane AP, Liese AD, D'Agostino RB Jr, Bell RA.;Int J Child Health Nutr. 2016;;;;;;;;;;;;;;;
Applying Community-Based Participatory Research to Create a Diabetes Prevention Documentary with New Zealand Māori.;/pubmed/28230546;Farmer A, Gage J, Kirk R, Edgar T.;Prog Community Health Partnersh. 2016;;;;;;;;;;;;;;;
Origanum Majoranum Extract Modulates Gene Expression; Hepatic and Renal Changes in a Rat Model of Type 2 Diabetes.;/pubmed/28228803;Soliman MM, Abdo Nassan M, Ismail TA.;Iran J Pharm Res. 2016 Winter;;;;;;;;;;;;;;
In-vitro Studies on Calotropis procera Leaf Extracts as Inhibitors of Key Enzymes Linked to Diabetes Mellitus.;/pubmed/28228802;Kazeem MI, Mayaki AM, Ogungbe BF, Ojekale AB.;Iran J Pharm Res. 2016 Winter;;;;;;;;;;;;;;;
Diabetes mellitus is a coronary heart disease risk equivalent for peripheral vascular disease.;/pubmed/28224925;Newman JD, Rockman CB, Kosiborod M, Guo Y, Zhong H, Weintraub HS, Schwartzbard AZ, Adelman MA, Berger JS.;Am Heart J. 2017 Feb;;;;;;;;;;;;;;;
Associations of Steroid Sex Hormones and Sex Hormone-Binding Globulin With the Risk of Type 2 Diabetes in Women: A Population-Based Cohort Study and Meta-analysis.;/pubmed/28223343;Muka T, Nano J, Jaspers L, Meun C, Bramer WM, Hofman A, Dehghan A, Kavousi M, Laven JS, Franco OH.;Diabetes. 2017 Mar;;;;;;;;;;;;;;;
Effectiveness of yoga program in the management of diabetes using community health workers in the urban slums of Bangalore city: A non-randomized controlled trial.;/pubmed/28217594;Dasappa H, Fathima FN, Prabhakar R.;J Family Med Prim Care. 2016 Jul-Sep;;;;;;;;;;;;;;;
New risk and protective factors for severe hypoglycaemia in people with type 1 diabetes.;/pubmed/28216284;Wohland T, Holstein JD, Patzer OM, Mende M, Tiemann T, Koch-Tessarek C, Kovacs P, Holstein A.;Nutr Metab Cardiovasc Dis. 2016 Dec 24. pii: S0939-4753(16)30351-9. doi: 10.1016/j.numecd.2016.12.006. [Epub ahead of print];Nutr Metab Cardiovasc Dis.  2016;PubMed;citation;PMID:28216284;pubmed;28216284;create date:2017/02/22 | first author:Wohland T;;;;;;;;
[Obesity and diabetes; a global problem: what does recent data tell us?];/pubmed/28214909;Giampaoli S, Vannucchi S.;Ig Sanita Pubbl. 2016 Nov-Dec;;;;;;;;;;;;;;
